Date,ByteSize
2019-08-06,669353
2019-08-07,669351
2019-08-08,669351
2019-08-09,661179
2019-08-10,666628
2019-08-11,666628
2019-08-12,667816
2019-08-16,668442
2019-08-17,668442
2019-08-18,668442
2019-08-19,668442
2019-08-20,668442
2019-08-21,668735
2019-08-22,669185
2019-08-23,669185
2019-08-24,669185
2019-08-25,669185
2019-08-26,669185
2019-08-27,669185
2019-08-28,669185
2019-08-29,669185
2019-08-30,669185
2019-08-31,669185
2019-09-01,669185
2019-09-02,669185
2019-09-03,669185
2019-09-04,669185
2019-09-05,669185
2019-09-06,669185
2019-09-07,669185
2019-09-08,669185
2019-09-09,669185
2019-09-10,669185
2019-09-11,669185
2019-09-12,669185
2019-09-13,669185
2019-09-14,669185
2019-09-15,669185
2019-09-16,669185
2019-09-17,669185
2019-09-18,669185
2019-09-19,669185
2019-09-20,669185
2019-09-21,669185
2019-09-22,669185
2019-09-23,669185
2019-09-24,669185
2019-09-25,669185
2019-09-26,669185
2019-09-27,669185
2019-09-28,669185
2019-09-29,669185
2019-09-30,669185
2019-10-01,673398
2019-10-02,676677
2019-10-03,679968
2019-10-04,682685
2019-10-05,681971
2019-10-06,681971
2019-10-08,682378
2020-02-10,730155
2020-02-10,730155
